"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20230301","수인선","달월","62","61","20230304",""
"20230301","수인선","사리","3237","2748","20230304",""
"20230301","수인선","야목","230","196","20230304",""
"20230301","수인선","어천","751","746","20230304",""
"20230301","수인선","오목천","2169","1967","20230304",""
"20230301","수인선","고색","2291","2335","20230304",""
"20230301","분당선","매교","2612","2592","20230304",""
"20230301","분당선","수원시청","8236","8069","20230304",""
"20230301","분당선","매탄권선","3018","2930","20230304",""
"20230301","분당선","망포","7807","7806","20230304",""
"20230301","분당선","영통","5966","6146","20230304",""
"20230301","분당선","청명","2258","2260","20230304",""
"20230301","분당선","상갈","3420","3404","20230304",""
"20230301","분당선","기흥","5733","5551","20230304",""
"20230301","분당선","신갈","2361","2438","20230304",""
"20230301","분당선","구성","2886","3151","20230304",""
"20230301","분당선","죽전","9228","10401","20230304",""
"20230301","분당선","보정","1488","1391","20230304",""
